GymID,Net,Name,Phone,Address,Mail,PlusCode,GeoX,GeoY,Cost,WorkinghourA,WorkinghourB,WorkinghourC,WorkinghourD,WorkinghourE,WorkinghourF,WorkinghourG,Website
1,Profit,פרופיט נס ציונה,086628070,רחוב החרש 8,service@profitgym.co.il,3Q4M+FF Tel Aviv-Yafo,31.922438,34.800062,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,19:30-23:00,https://www.profitgym.co.il/branch/%d7%a0%d7%a1-%d7%a6%d7%99%d7%95%d7%a0%d7%94-%d7%91%d7%a7%d7%a8%d7%95%d7%91/
2,Profit,פרופיט קריית אתא,046075333,קניון עזריאלי קרית אתא,profit.ata1@gmail.com,R35F+X5 Kiryat Ata,32.803687,35.103437,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-16:00,closed,https://www.profitgym.co.il/branch/%d7%a7%d7%a8%d7%99%d7%99%d7%aa-%d7%90%d7%aa%d7%90-%d7%91%d7%a7%d7%a8%d7%95%d7%91/
3,Profit,פרופיט אשדוד,089200144,"האורגים 25, אשדוד",Profit55ashdod@gmail.com,RM74+56 Ashdod,31.812937,34.655563,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-23:00,https://www.profitgym.co.il/branch/%d7%90%d7%a9%d7%93%d7%95%d7%93/
4,Profit,פרופיט בית שמש,029995833,"קניון שערי העיר רח' יגאל אלון 6, בית שמש",rotem.profit@gmail.com,QX4Q+85 Bet Shemesh,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-15:00,19:00-23:00,https://www.profitgym.co.il/branch/%d7%91%d7%99%d7%aa-%d7%a9%d7%9e%d7%a9/
5,Profit,פרופיט חיפה,04-9080430,"מתחם מרכז הקונגרסים ברחוב קדושי יאסי 2, חיפה",profithaifa1@gmail.com,QXR8+G4 Haifa,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%97%d7%99%d7%a4%d7%94/
6,Profit,פרופיט נתניה,09-7723421,"מלון כרמל נתניה, שדרות עובד בן עמי 2",profitnetanya@gmail.com,8R9W+4H Netanya,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%a0%d7%aa%d7%a0%d7%99%d7%94/
7,Profit,פרופיט קריית מוצקין,04-8550553,קריית מוצקין דרך עכו 165,profit.krayot@gmail.com,R3RQ+F2 Kiryat Motzkin,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%a7%d7%a8%d7%99%d7%95%d7%aa/
8,Profit,פרופיט ראשל”צ חולון,03-6057774,ראשל”צ חולון רח' יוסף לישנסקי 22,profitgymr@gmail.com,XQV8+3R Rishon LeTsiyon,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%a8%d7%90%d7%a9%d7%9c%d7%a6/
9,Profit,פרופיט תל אביב,03-5757870,"קרליבך 18, פינת שפרינצק 1", profittlv@gmail.com,3QCJ+8W Tel Aviv-Yafo,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,07:00-18:00,10:00-20:00,https://www.profitgym.co.il/branch/%d7%aa%d7%9c-%d7%90%d7%91%d7%99%d7%91/
10,Profit,פרופיט כפר סבא,09-745-5909,"דרך השרון 12, כפר סבא",profitkfarsaba@gmail.com,5VFR+FR Kefar Sava,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%9b%d7%a4%d7%a8-%d7%a1%d7%91%d7%90/
