GymID,Net,Name,Phone,Address,Mail,PlusCode,GeoX,GeoY,Cost,WorkinghourA,WorkinghourB,WorkinghourC,WorkinghourD,WorkinghourE,WorkinghourF,WorkinghourG,Website
1,Profit,?????? ?? ?????,086628070,???? ???? 8,service@profitgym.co.il,3Q4M+FF Tel Aviv-Yafo,31.922438,34.800062,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,19:30-23:00,https://www.profitgym.co.il/branch/%d7%a0%d7%a1-%d7%a6%d7%99%d7%95%d7%a0%d7%94-%d7%91%d7%a7%d7%a8%d7%95%d7%91/
2,Profit,?????? ????? ???,046075333,????? ??????? ???? ???,profit.ata1@gmail.com,R35F+X5 Kiryat Ata,32.803687,35.103437,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-16:00,closed,https://www.profitgym.co.il/branch/%d7%a7%d7%a8%d7%99%d7%99%d7%aa-%d7%90%d7%aa%d7%90-%d7%91%d7%a7%d7%a8%d7%95%d7%91/
3,Profit,?????? ?????,089200144,"??????? 25, ?????",Profit55ashdod@gmail.com,RM74+56 Ashdod,31.812937,34.655563,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-23:00,https://www.profitgym.co.il/branch/%d7%90%d7%a9%d7%93%d7%95%d7%93/
4,Profit,?????? ??? ???,029995833,"????? ???? ???? ??' ???? ???? 6, ??? ???",rotem.profit@gmail.com,QX4Q+85 Bet Shemesh,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-15:00,19:00-23:00,https://www.profitgym.co.il/branch/%d7%91%d7%99%d7%aa-%d7%a9%d7%9e%d7%a9/
5,Profit,?????? ????,04-9080430,"???? ???? ????????? ????? ????? ???? 2, ????",profithaifa1@gmail.com,QXR8+G4 Haifa,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%97%d7%99%d7%a4%d7%94/
6,Profit,?????? ?????,09-7723421,"???? ???? ?????, ????? ???? ?? ??? 2",profitnetanya@gmail.com,8R9W+4H Netanya,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%a0%d7%aa%d7%a0%d7%99%d7%94/
7,Profit,?????? ????? ??????,04-8550553,????? ?????? ??? ??? 165,profit.krayot@gmail.com,R3RQ+F2 Kiryat Motzkin,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%a7%d7%a8%d7%99%d7%95%d7%aa/
8,Profit,?????? ????”? ?????,03-6057774,????”? ????? ??' ???? ??????? 22,profitgymr@gmail.com,XQV8+3R Rishon LeTsiyon,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%a8%d7%90%d7%a9%d7%9c%d7%a6/
9,Profit,?????? ?? ????,03-5757870,"?????? 18, ???? ??????? 1", profittlv@gmail.com,3QCJ+8W Tel Aviv-Yafo,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,07:00-18:00,10:00-20:00,https://www.profitgym.co.il/branch/%d7%aa%d7%9c-%d7%90%d7%91%d7%99%d7%91/
10,Profit,?????? ??? ???,09-745-5909,"??? ????? 12, ??? ???",profitkfarsaba@gmail.com,5VFR+FR Kefar Sava,0,0,150,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-17:00,09:00-18:00,https://www.profitgym.co.il/branch/%d7%9b%d7%a4%d7%a8-%d7%a1%d7%91%d7%90/
